"UID","Study","Location","Sex","Age","Trial","Odor","Forced"
"F_43","Field","Tate","Female","Under_50",5,"fish","fish"
"F_43","Field","Southwark","Female","Under_50",1,"garlic","garlic"
"F_43","Field","Southwark","Female","Under_50",2,"peppermint","peppermint"
"F_43","Field","Southwark","Female","Under_50",3,"rose","rose"
"F_43","Field","Southwark","Female","Under_50",4,"orange","orange"
"F_43","Field","Southwark","Female","Under_50",5,"fish","fish"
"F_43","Field","Borough","Female","Under_50",1,"peppermint","peppermint"
"F_43","Field","Borough","Female","Under_50",2,"orange","no smell"
"F_43","Field","Borough","Female","Under_50",3,"garlic","garlic"
"F_43","Field","Borough","Female","Under_50",4,"fish","fish"
"F_43","Field","Borough","Female","Under_50",5,"rose","rose"
"F_44","Field","Tate","Female","Under_50",1,"peppermint","peppermint"
"F_44","Field","Tate","Female","Under_50",2,"garlic","wood"
"F_44","Field","Tate","Female","Under_50",3,"orange","orange"
"F_44","Field","Tate","Female","Under_50",4,"rose","rose"
"F_44","Field","Tate","Female","Under_50",5,"fish","ham"
"F_44","Field","Southwark","Female","Under_50",1,"peppermint","peppermint"
"F_44","Field","Southwark","Female","Under_50",2,"orange","orange"
"F_44","Field","Southwark","Female","Under_50",3,"garlic","ham"
"F_44","Field","Southwark","Female","Under_50",4,"rose","wood"
"F_44","Field","Southwark","Female","Under_50",5,"fish","ham"
"F_44","Field","Borough","Female","Under_50",1,"peppermint","peppermint"
"F_44","Field","Borough","Female","Under_50",2,"rose","rose"
"F_44","Field","Borough","Female","Under_50",3,"garlic","ham"
"F_44","Field","Borough","Female","Under_50",4,"orange","orange"
"F_44","Field","Borough","Female","Under_50",5,"fish","ham"
"F_45","Field","Tate","Female","Under_50",1,"garlic","garlic"
"F_45","Field","Tate","Female","Under_50",2,"peppermint","peppermint"
"F_45","Field","Tate","Female","Under_50",3,"orange","chewing gum"
"F_45","Field","Tate","Female","Under_50",4,"rose","rose"
"F_45","Field","Tate","Female","Under_50",5,"fish","fish"
"F_45","Field","Southwark","Female","Under_50",1,"rose","rose"
"F_45","Field","Southwark","Female","Under_50",2,"orange","orange"
"F_45","Field","Southwark","Female","Under_50",3,"fish","fish"
"F_45","Field","Southwark","Female","Under_50",4,"peppermint","peppermint"
"F_45","Field","Southwark","Female","Under_50",5,"garlic","garlic"
"F_45","Field","Borough","Female","Under_50",1,"rose","rose"
"F_45","Field","Borough","Female","Under_50",2,"fish","fish"
"F_45","Field","Borough","Female","Under_50",3,"garlic","garlic"
"F_45","Field","Borough","Female","Under_50",4,"peppermint","peppermint"
"F_45","Field","Borough","Female","Under_50",5,"orange","orange"
"F_46","Field","Tate","Female","Under_50",1,"garlic","garlic"
"F_46","Field","Tate","Female","Under_50",2,"peppermint","menthol"
"F_46","Field","Tate","Female","Under_50",3,"orange","peach"
"F_46","Field","Tate","Female","Under_50",4,"fish","fish"
"F_46","Field","Tate","Female","Under_50",5,"rose","rose"
"F_46","Field","Southwark","Female","Under_50",1,"peppermint","menthol"
"F_46","Field","Southwark","Female","Under_50",2,"fish","fish"
"F_46","Field","Southwark","Female","Under_50",3,"rose","rose"
"F_46","Field","Southwark","Female","Under_50",4,"garlic","garlic"
"F_46","Field","Southwark","Female","Under_50",5,"orange","orange"
"F_46","Field","Borough","Female","Under_50",1,"orange","rose"
"F_46","Field","Borough","Female","Under_50",2,"peppermint","menthol"
"F_46","Field","Borough","Female","Under_50",3,"garlic","garlic"
"F_46","Field","Borough","Female","Under_50",4,"fish","fish"
"F_46","Field","Borough","Female","Under_50",5,"rose","rose"
"L_1","Lab","Clean","Female","Under_50",1,"peppermint","peppermint"
"L_1","Lab","Clean","Female","Under_50",2,"orange","orange"
"L_1","Lab","Clean","Female","Under_50",3,"fish","fish"
"L_1","Lab","Clean","Female","Under_50",4,"garlic","garlic"
"L_1","Lab","Clean","Female","Under_50",5,"rose","rose"
"L_1","Lab","Smelly","Female","Under_50",1,"fish","fish"
